jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
88.2306,1.743,2.15289,47.6312,-2.7929,-1.77077,53.2858,0.9317,-0.444254,-2.35953,8.74522
100.103,1.96221,0.962077,94.2128,-1.87458,1.4941,109.008,0.334066,-1.9745,-0.532026,9.66071
101.928,-1.87557,-0.136448,52.7257,2.22921,-1.93022,93.7287,-0.697335,2.51285,-1.79377,10.6355
209.637,1.95863,-2.66692,138.109,-1.94198,0.275088,50.988,0.35124,-0.206465,-2.94201,17.1161
191.119,0.727968,1.18411,37.8883,-3.01952,-2.70765,157.619,-0.566367,-1.805,-2.39143,9.14063
310.425,-1.48126,1.56399,33.4672,3.35286,-1.90068,109.885,-0.865352,-1.36252,2.81852,9.30972
87.8732,-2.42367,0.00622492,78.9165,0.888508,-1.23888,143.862,-1.30195,2.44945,-1.2451,8.78783
129.663,-1.91809,-0.895869,76.0809,2.42513,0.568762,92.1539,-0.0649035,2.72321,1.46463,14.4143
101.257,0.56881,2.34997,51.1361,-3.3322,0.778752,170.677,0.0869019,-0.926295,1.57122,9.12746
144.449,0.754291,-0.25952,47.6315,-3.5147,0.793453,92.9596,-1.02748,2.96585,-1.05297,9.01788
98.7526,0.265152,0.732187,88.0539,-3.66127,-2.95171,51.4499,-1.78333,-0.885139,-2.59929,9.36403
65.5549,2.44744,-1.55768,61.8424,-2.07373,-2.82011,39.9676,0.85719,1.14394,1.26242,11.0442
148.596,1.80738,2.0871,60.9744,-2.54165,-1.89809,104.044,-0.360181,-1.08052,-2.298,8.84711
184.571,1.31823,2.91599,122.757,-2.17318,-1.95139,138.059,-0.86014,0.802563,-1.4158,11.7279
97.88,-1.18711,-0.823017,47.7072,4.16939,2.27242,42.7778,-0.70615,1.44159,3.09544,10.2657
157.472,0.649155,-1.45073,51.0192,-2.81953,0.0617377,147.875,0.37254,1.9964,-1.51247,9.46699
77.4317,1.38519,0.0734446,63.4224,-1.76899,-2.54924,49.2909,-1.87422,2.00902,2.62268,8.8605
228.369,-0.589354,-1.30067,45.783,3.49381,1.31904,76.9773,1.41501,1.97587,2.61971,11.5032
110.256,-3.07367,-0.208431,51.2109,1.30543,0.913067,106.832,-0.898362,-2.66691,1.1215,10.389
276.753,1.68019,1.12396,80.7573,-2.07228,-1.38926,84.6685,0.692691,-2.12994,2.51322,14.21
77.3178,2.0244,-1.87195,44.0006,-2.11483,2.60884,54.3014,1.29007,0.859422,1.8024,9.42963
51.508,-2.12163,-1.15911,49.5238,2.32876,-2.09353,49.9965,0.913451,1.36799,-0.934419,14.5051
91.0171,-1.90872,-2.71512,56.6826,2.78904,-2.99651,103.168,-0.606024,0.0406491,-0.281389,8.97246
133.524,2.64859,-2.34096,124.321,-0.625477,2.03713,136.064,0.327177,0.179894,1.9051,10.1551
121.294,1.9972,-0.944942,35.9833,-1.67841,-2.00096,112.961,2.03744,1.80857,1.05602,9.12573
159.097,-2.42016,0.817262,133.481,1.21381,-0.440697,79.3275,-0.658876,3.13332,-1.25796,9.12778
72.5475,-2.78247,2.88982,49.6155,1.75734,0.138654,29.8103,0.108775,-2.1181,-2.75117,10.5945
89.3062,2.00825,2.93717,68.6169,-2.17418,-0.68938,37.6243,1.76969,0.18933,-2.65664,8.89956
111.045,-1.85712,2.45608,42.1627,3.78322,2.19762,92.2022,-0.883567,-0.700252,-0.258454,9.27006
81.0285,1.6624,2.15421,70.0092,-3.20883,-1.94177,83.6683,0.993568,-0.194638,-2.1872,11.4402
95.3103,-1.02557,-2.21786,47.8852,3.22447,1.90891,62.5967,0.60953,0.801926,-2.15641,8.68953
214.192,-1.33663,1.01567,115.199,3.58748,-0.52976,224.127,-0.321183,-2.66621,-1.54543,9.18835
162.754,-0.637964,1.67456,31.0168,4.20413,2.70045,99.2179,1.09164,-1.47812,1.02589,9.27261
121.54,-1.95888,-0.419476,99.0574,3.49956,1.64388,112.529,-1.30038,2.90274,2.06336,10.9129
153.356,1.95417,-1.39557,48.7927,-1.36771,1.47065,42.3598,2.04968,2.67063,-2.86622,10.8562
79.6636,3.01243,-2.9785,45.2616,-1.06527,1.76345,76.8721,0.00288152,-1.29913,1.54124,9.15031
94.0177,2.75845,-0.211634,52.3655,-2.45624,-1.74561,112.126,-1.12071,2.7277,1.53397,9.57842
76.5448,2.72869,-0.168217,53.5053,-2.10269,-0.0781567,106.467,1.20439,3.03042,-0.0900602,9.40959
41.9503,-1.23737,-0.289111,36.5716,3.2111,0.419827,48.0232,-1.13026,-2.75321,0.708937,10.0898
122.055,1.79417,-1.40232,88.8817,-1.98821,0.362878,88.5759,0.246687,2.72495,-1.7652,10.9472
98.2902,1.88076,-0.260277,42.7509,-2.79089,-0.21783,130.118,-1.90127,2.80543,-0.0424468,9.46469
140.177,2.6827,-2.98,104.586,-1.74746,1.84722,144.511,-0.856619,-0.351249,1.45596,9.99424
136.824,2.64465,0.138922,62.2257,-2.95909,-1.67167,63.4644,2.34794,3.00957,1.81059,9.89505
117.052,-2.36229,-0.903047,91.4145,1.91386,2.21506,66.1304,0.797573,1.68872,3.11811,8.90035
122.268,-2.94185,2.91316,107.933,0.81199,-0.258728,75.3655,-1.57496,-0.447078,3.1113,11.741
132.421,2.13585,-1.76943,98.348,-1.70576,3.08039,98.0008,0.874466,1.01612,1.43336,11.4894
61.3997,-4.2062,-1.36153,53.8773,2.08657,0.942233,57.1927,0.821858,2.14733,2.30377,10.7434
227.476,1.54919,-2.02059,145.261,-2.304,0.0299258,147.868,-1.3072,2.02702,-2.05052,9.64655
78.8332,2.15954,1.90948,55.2967,-2.46149,-0.779992,35.7466,-1.75753,-1.14733,2.68948,10.2432
140.056,1.68663,-2.54971,70.5974,-3.47331,2.59564,107.671,-0.390118,0.757597,1.13783,8.99085
170.434,-0.967651,-1.10231,96.0004,3.21151,3.13312,100.657,-0.187923,0.410265,-2.04776,8.94781
269.79,2.26071,-0.989311,128.505,-0.918335,1.63824,114.687,-0.4093,-2.89248,-2.62755,10.3721
163.879,-0.938741,-0.608839,46.1352,2.23589,-1.79822,61.9072,0.403643,2.38141,-1.18938,14.3236
110.205,1.81012,0.62925,71.0962,-2.79745,2.38325,145.222,-0.146826,-2.50109,-1.754,9.21478
54.0814,-1.42254,-0.158331,32.4723,2.87836,-2.42706,38.5775,-0.815671,-2.94737,-2.26873,10.6563
50.4354,-4.19822,0.575746,35.4029,0.787777,2.98354,49.412,-1.33891,-1.63962,2.4078,9.99625
59.7788,4.15521,0.46298,59.2714,-0.630641,2.86263,28.9533,2.69491,-3.02629,-2.39965,11.5067
80.3186,3.37006,1.7104,76.1962,-0.210662,-0.747071,43.0734,1.58405,2.71604,2.45747,11.0377
111.697,2.75994,-2.58751,62.1979,-1.50903,0.342789,52.0656,0.79858,1.16011,-2.9303,15.2356
130.286,-1.04967,1.842,110.36,2.27436,-2.78864,108.499,2.08017,-0.278973,1.65254,10.4808
117.27,3.06185,-0.814065,44.5679,-0.193639,2.43233,66.8901,1.7005,2.17044,3.03679,9.10133
101.796,-3.18312,1.84788,63.5824,2.69379,-2.53393,61.459,1.6375,-1.21455,1.90137,14.5153
82.0375,2.72564,-1.6512,48.4811,-1.24619,1.62872,114.847,0.578779,1.98921,3.00327,10.7246
93.1428,-2.80563,2.05494,67.9472,0.856415,2.23309,120.536,-0.0704931,-0.848073,0.178149,9.67752
129.225,2.78738,-1.1332,128.242,-0.820847,1.83107,38.9115,1.93086,-2.88135,-2.96427,14.2605
196.747,2.67155,0.52403,118.52,-1.77268,2.27452,159.661,0.254877,-1.99038,-1.75049,9.62068
280.826,-1.9632,1.39006,90.0955,1.2712,-1.04123,89.4633,-1.12329,-1.50634,-2.43129,10.7736
101.465,-2.73919,-0.266553,44.2656,1.00701,2.34362,33.3681,-2.05331,2.12718,2.61018,9.33327
52.2098,4.06856,2.73144,50.6928,-1.17265,-2.31191,72.9833,0.232539,0.376372,-1.23983,11.1635
53.6637,-2.8127,2.57432,37.228,1.58718,1.7649,36.6015,-0.315845,-1.00303,-0.80942,13.696
89.8372,-1.76722,-2.24424,83.9393,2.81789,-2.29389,56.5006,1.92883,0.685546,-0.0496497,11.5518
108.356,1.89934,-2.01404,82.5978,-1.45522,2.47789,38.3944,-1.35846,-0.354393,1.79126,8.84933
147.581,2.6003,0.605181,30.9534,-2.58802,0.547852,82.6384,1.54958,-2.68533,0.057329,9.2084
42.6282,2.97431,-0.506293,33.2325,-1.97293,-2.44616,30.3956,-1.04902,2.72682,1.93987,10.8184
136.499,-1.60306,0.595459,35.3952,3.91558,-2.99727,56.1247,-0.879071,-2.29705,2.69046,10.7949
172.459,-1.47331,-0.598572,107.137,1.64869,1.72661,56.4208,1.39122,2.94968,2.32519,10.6537
83.6054,2.67781,-1.32518,48.4671,-1.45863,-0.452175,49.1977,0.743759,2.33048,-0.873003,16.0855
360.02,-1.27106,-2.4517,74.2618,2.37282,0.742247,188.649,-0.164577,0.64025,-3.08924,10.2219
118.144,-0.735401,2.97892,117.588,2.72128,-0.107938,66.8285,2.07252,-2.01739,-3.08686,9.6118
204.952,1.19897,2.13498,46.2898,-3.38073,-0.865099,127.428,0.530424,-0.819362,3.00008,8.97748
115.747,2.23069,1.42711,109.909,-0.90153,-2.18468,58.9036,1.61384,2.96714,-2.6714,9.59634
59.1713,2.9329,-2.7138,33.3753,-1.29868,0.118675,27.0271,0.482666,1.44201,-2.83247,14.6569
98.2007,-0.545526,-1.36093,57.9951,2.71699,-2.28266,85.2852,1.05967,1.354,-0.921737,10.3787
67.8311,-2.58797,1.61006,49.7897,1.22982,0.689382,87.7371,-1.16987,-1.36826,-0.920674,10.7424
52.8936,-3.35381,-2.30865,50.0267,0.782362,-1.26915,48.3691,-0.546274,1.32674,1.0395,14.346
189.333,-0.732738,-2.18312,90.2635,2.85646,2.59617,121.254,-0.36255,0.613417,-1.5039,11.112
89.968,-1.0776,-1.37591,60.8749,2.73887,0.579895,69.9956,1.8611,2.35348,1.9558,15.3957
114.598,-1.73408,-2.2187,77.265,2.99202,0.463579,66.8111,-0.900079,1.84378,2.68228,8.75079
90.8314,-2.41784,-2.04504,76.8876,1.73681,-2.93184,106.531,0.891782,0.943535,-0.886801,9.04453
164.899,-2.83421,-0.862345,65.4259,0.758578,1.98451,129.831,-2.3275,1.3767,2.84686,11.4586
199.084,-2.66699,1.37218,74.8352,1.43142,-1.60481,136.725,-0.801094,-1.80935,-2.97699,10.062
115.123,1.28499,-0.971428,74.514,-2.70519,2.56029,46.0642,1.58697,1.42128,2.75147,10.8306
130.041,-0.875461,-0.409499,94.5349,2.97919,-1.21289,118.34,-0.3146,2.47027,-0.803389,8.86464
173.136,0.766003,-1.70027,68.1369,-2.47789,-2.20828,234.629,-1.23152,1.04355,0.508011,9.7036
152.378,2.78227,-2.79149,73.8687,-0.257449,-0.813526,104.068,1.49929,0.815762,-1.97797,9.00633
126.736,-1.37203,-1.97437,47.5395,2.09875,-3.13244,73.5538,0.245861,1.20059,-1.15807,9.39822
171.307,2.23679,-0.124459,80.0355,-1.47331,1.99114,108.38,0.665733,-2.76509,-2.1156,11.0948
154.302,2.89311,-2.71335,82.4887,-0.455757,1.21853,87.5085,-0.322154,-0.158948,2.3513,9.92657
246.813,1.61449,3.05409,40.2313,-1.65949,-1.62718,147.972,0.4774,0.047604,-1.60192,9.15941
148.924,-1.55138,-2.89509,141.696,2.4819,-1.12128,75.283,-0.559998,1.13213,1.77381,15.1515
78.3509,-0.989765,3.13921,61.6241,2.85648,1.66192,88.2632,0.869771,-0.564005,-1.47729,9.54686
84.8586,2.57827,0.881203,43.7158,-4.2544,0.153693,71.9679,-0.945571,-2.91677,0.72751,10.7415
76.2174,-1.20727,0.0390464,53.3154,3.3816,-0.286792,45.6932,0.89739,2.50882,-0.325839,10.1821
68.6253,2.49775,-1.32734,40.0181,-1.55676,-2.70241,50.9167,-0.731661,1.27058,1.37507,10.787
93.7407,1.37969,-2.8822,37.9492,-2.67265,1.89813,51.5365,-0.69269,-0.547246,1.50285,10.6236
213.73,-2.74874,-1.4418,77.0853,4.37894,0.539631,127.643,-0.311936,1.76996,1.98143,11.1346
105.308,-1.8878,1.07283,46.1988,2.71599,-3.03085,93.4098,-0.0613912,-1.49995,2.1795,9.39749
64.1625,-1.29706,-0.440485,54.6086,3.3853,2.07024,64.7387,-0.355999,-2.27964,2.51073,11.1786
146.214,-2.51394,-1.36363,39.3189,1.37023,2.89662,116.418,0.911427,1.26783,-2.02293,8.78889
146.903,1.32797,2.12985,55.4764,-1.86524,-2.17031,84.8596,-0.154745,-0.632286,-1.98302,9.48912
74.642,-2.36105,-0.114037,51.4426,1.67047,3.03684,77.4316,-0.354826,-2.47228,-3.13231,8.76611
162.705,1.73701,-0.965355,83.3523,-1.73784,2.38792,43.6885,2.29175,2.03693,2.92991,10.5422
86.0153,-1.56924,-0.0481275,65.3103,1.95695,-2.05321,57.6032,1.42614,-3.06983,-2.00508,8.80556
172.123,0.169704,1.74914,39.9729,-4.0979,-2.86318,75.5727,-1.48664,-1.22425,-1.67086,10.8051
159.313,-0.0680941,1.47746,104.294,3.50062,-0.107395,113.979,0.980285,-1.91839,-1.58485,12.5673
105.809,2.33279,-0.603008,84.5535,-1.0914,-1.31336,146.447,0.322141,2.53924,0.710347,9.53079
