jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
360.017,1.18988,-0.8299,92.6502,-4.03715,3.0031,236.943,-0.0608204,2.19057,2.45019,0.0363331
245.59,1.4873,-0.507498,68.4732,-4.4136,0.559706,173.482,0.261744,2.80955,-1.0672,0.0360568
103.881,-3.09152,-2.8106,79.8476,3.61716,-1.51551,94.4593,-0.915703,0.929492,1.29509,0.0360427
170.684,-1.55554,0.663658,64.3392,1.85896,-3.07351,28.8916,-1.5191,-1.79443,2.54602,0.0304595
169.126,-2.67684,-1.77935,91.954,2.62776,-0.676649,121.811,0.462305,1.78717,1.1027,0.0330776
202.099,2.57474,-2.27035,87.62,-2.00922,1.4177,62.2824,1.73516,0.611622,2.59513,0.0321634
139.535,3.39537,-0.975364,37.4459,-2.76118,1.51201,51.351,0.480638,1.9755,-2.48738,0.034916
108.715,-0.67874,-0.959005,88.3512,3.57494,-0.222955,120.192,0.219618,2.36823,0.73605,0.0307305
99.3949,-3.53768,-2.53468,33.7703,1.60734,2.75239,58.7497,-1.01488,0.970872,-0.996114,0.0323334
302.682,1.30959,1.90103,98.5187,-3.20594,-2.63475,195.032,-0.975379,-1.05845,-1.74741,0.0351177
183.595,-0.744986,-0.176677,68.9301,3.35567,1.96624,67.1661,1.20432,-2.96341,2.14292,0.0315616
117.077,2.5519,0.358261,72.3942,-0.712288,1.13228,73.9464,0.198161,-2.41269,-0.774023,0.031928
106.189,-2.43523,-2.71263,50.2633,0.947981,1.99634,69.8334,-0.784501,-0.0994221,-1.57422,0.0315194
194.379,-2.73655,2.60544,122.083,1.42153,-1.99198,155.89,-2.01507,-0.008121,1.68577,0.0342133
167.26,-2.23866,1.78913,82.7716,1.61794,0.58314,63.2648,-0.90639,-1.83871,-1.20599,0.0309907
171.454,-0.357023,3.12838,160.785,2.96723,3.05839,226.575,0.844251,-0.0370563,-0.069984,0.0338926
46.7687,-3.63489,0.175562,44.2299,3.75359,0.723708,71.6851,-0.0183146,-2.78123,0.548146,0.0338706
121.05,-0.880361,-0.599995,43.2961,4.09323,0.152619,138.184,2.16923,2.65757,0.752614,0.0335932
205.182,-1.55608,-2.23861,64.3225,2.63775,2.68087,148.488,1.08318,0.419576,-1.36371,0.0333405
94.8644,-2.58037,-1.18819,53.5895,4.74323,0.592764,114.781,1.02113,2.81599,1.78095,0.0369973
187.637,-1.11554,2.82394,85.2871,2.42223,0.559791,47.0079,0.834115,-0.594014,-2.26415,0.03316
43.0021,1.6871,-0.377631,40.3149,-4.50725,-0.267922,61.3976,-0.0628174,2.67102,-0.109709,0.0335374
144.359,0.765284,-2.31608,60.4232,-3.18794,1.89294,56.9274,-1.2832,1.34075,2.07416,0.0321815
132.678,-2.97845,0.0195921,91.2512,1.45227,0.182771,130.378,-1.31639,-3.01015,0.163179,0.0319841
110.814,2.40086,-1.90846,104.46,-3.06388,-2.62126,129.485,-0.272147,0.944378,0.712801,0.0342832
88.3211,-2.7562,1.54153,45.4388,2.18293,-0.749025,87.1615,-1.42566,2.73431,-2.29056,0.0326658
104.223,-3.03212,0.943332,66.6617,2.73095,2.07527,120.541,0.719709,-2.25772,1.13194,0.0338859
79.9495,-3.0882,-1.96372,30.6104,2.22493,-3.13879,79.5641,1.83481,1.18475,-1.17507,0.0324168
61.6018,4.47106,-0.181731,58.887,-2.38012,0.978049,54.9721,-1.58947,-2.30825,-1.15978,0.035284
