SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
4.67787,1,-0.162228,-2.50028,-1.67858,-2.50764,25.8609,0.367687,-0.691331,-0.687946,-0.220888,0.53839,0.828859,-0.152082
0.281082,1,2.00098,-1.22557,-1.83596,-3.48295,122.532,2.40326,0.219728,-0.926478,-0.305544,-0.303916,0.950722,-0.0613361
0.921728,1,-2.64803,0.415736,-0.591838,0.133009,22.5717,31.0463,-0.431411,0.899159,-0.0734684,-0.354727,0.554973,0.752446
5.69551,1,2.82124,-0.262598,-3.4678,-2.94431,22.9294,15.917,-0.76302,0.643779,0.05787,0.74907,0.659922,0.0582829
1.38465,1,1.80817,2.88087,-1.25563,-1.20161,48.012,104.534,0.213251,0.850193,0.481347,-0.172405,0.946862,0.27153
0.0108408,1,2.35765,-3.12323,-0.554949,-1.60442,22.498,10.4633,0.389817,-0.322374,-0.862623,-0.0812898,0.996341,0.0263842
5.54822,1,-1.34133,1.89877,1.59746,0.787502,42.3267,39.0163,0.0670195,-0.920553,-0.384826,0.316655,0.698492,-0.641747
2.07345,1,-1.66418,1.53849,-0.230177,0.594359,6.97655,45.0995,0.810754,-0.203913,0.548723,0.136349,0.525086,-0.840056
2.43512,1,-1.41286,1.83414,-3.90708,-3.68033,44.8598,22.7409,-0.277021,-0.960175,0.0363802,0.988554,-0.1495,-0.0202693
0.632024,1,-0.797156,2.44943,0.100698,1.83117,45.0864,22.1209,-0.0410971,0.100032,0.994135,0.963847,-0.0665329,0.258017
0.499546,1,-1.06869,2.79801,0.0495063,1.82289,0.362903,34.8734,-0.151244,-0.0272106,0.988122,0.82409,-0.47385,0.310391
1.70508,1,-2.16244,0.990486,-2.0753,-1.41866,38.0497,15.2683,0.377252,-0.915446,0.140139,-0.0538771,-0.911725,-0.407253
5.64291,1,2.08066,-1.17468,1.87777,0.338954,12.2163,15.4844,-0.882779,-0.469743,-0.00653171,-0.790725,-0.104838,0.603128
0.738526,1,1.8442,0.77582,1.11537,2.72025,42.8455,49.577,0.221056,0.816383,-0.533528,0.957199,0.265603,-0.114999
1.84558,1,1.78205,-1.61737,-0.715275,-1.25267,31.2349,17.5116,0.301081,0.632382,0.713753,-0.980781,-0.151693,0.122709
2.70316,1,-1.88662,1.02692,-0.675512,0.737335,1.92987,14.9403,-0.796307,-0.181715,0.576953,0.907199,-0.199953,-0.370147
0.1826,1,1.93125,-1.06787,1.75016,1.86407,7.17679,54.9866,0.710789,0.689085,-0.141212,0.96425,0.253535,-0.0770854
2.93264,1,1.86155,-1.3249,1.86715,2.23551,0.602469,49.575,-0.176725,-0.946207,0.271036,0.486992,-0.849281,-0.203861
