SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
3.18035,0,1.66448,-1.78188,4.40755,0.261058,7.15122,4.30135,0.996943,0.078132,0.000377211,-0.936678,0.263107,0.231104
3.80397,0,-1.40555,2.12971,2.08183,-0.194623,27.6951,11.0533,0.374741,-0.895677,-0.239439,0.510187,0.483415,0.711351
0.578378,0,-2.81574,0.173055,-0.488009,1.5255,32.7673,9.11528,0.286846,0.472514,-0.833337,0.288653,0.935579,-0.203401
3.46495,0,2.5321,0.161229,-0.990523,-0.819986,7.0406,28.8498,-0.236505,-0.927259,-0.290268,0.315758,0.816226,0.483809
2.27372,0,2.67635,0.0441468,-0.782945,-1.61819,25.3977,7.55943,0.661032,0.671715,-0.334419,0.850821,-0.397562,0.34358
3.86291,0,-0.296304,0.994945,-0.197537,-2.63912,33.7221,16.4852,-0.138215,0.206804,-0.968571,-0.516806,0.853824,0.0624146
4.09592,0,-0.34877,2.8358,-0.323262,-0.327841,35.6998,23.7427,-0.411307,-0.304042,-0.859293,0.243549,0.955565,0.166068
3.35945,0,0.595833,2.65672,-2.40347,-0.562022,47.206,21.4641,-0.546273,-0.82091,-0.166408,0.393981,0.910191,0.127793
4.73257,0,-0.587104,2.69179,-0.758448,-1.0006,89.4154,5.4853,0.766754,0.293819,0.570752,-0.789768,-0.415764,0.451006
3.56021,0,2.56346,-0.0717039,1.46446,0.734823,23.6876,17.321,0.838722,-0.33188,0.431742,0.5998,0.363515,-0.712809
3.17161,0,-0.304135,2.57614,0.272144,1.04216,33.0904,4.39337,0.338463,0.241664,-0.909418,0.530129,-0.585496,0.613317
3.2264,0,-0.301536,1.21693,-1.3893,-2.21342,18.274,39.6137,0.386962,0.920681,0.0510644,-0.894282,-0.419554,-0.155672
2.17645,0,1.67661,-1.41857,-0.640646,1.54947,18.7426,14.5949,-0.104737,-0.571894,-0.813614,0.854771,0.493894,0.159483
4.619,0,-1.9332,2.57086,0.0893532,-0.381087,60.4147,42.6051,-0.00179815,0.0959274,0.995387,-0.597693,-0.770246,0.222448
0.878344,0,-2.09957,2.80127,-2.7722,-1.27237,47.6575,23.7082,-0.326712,0.941614,-0.0813741,0.594378,-0.650567,-0.472733
1.94373,0,-0.764745,2.5792,-0.536901,-0.209018,26.553,13.3664,0.0575461,0.66532,-0.744337,-0.486066,-0.850511,-0.200926
3.51619,0,1.85217,-0.918925,1.51989,1.70617,14.6566,54.9755,0.772512,0.61145,-0.17133,-0.839327,-0.542844,0.0291633
1.52327,0,2.54449,-0.177301,-3.785,-2.02846,0.460071,33.0011,-0.987958,0.149208,0.0409381,-0.271579,-0.962061,-0.0261389
3.42864,0,-1.26714,-2.65266,-1.99729,-1.1393,29.987,17.7276,-0.907332,-0.418912,0.0355135,-0.751142,0.6018,0.271334
2.14224,0,-0.953494,-3.02986,-2.58712,-1.35895,7.86517,28.3744,0.962972,0.264599,0.0516998,0.756269,0.481447,-0.44302
3.40625,0,-2.87916,0.0884106,-0.806773,-0.599234,30.2187,35.7582,-0.156199,-0.891212,0.425843,-0.254974,0.928322,-0.270567
3.5801,0,-2.17265,0.618892,1.20698,1.95912,56.5585,22.8633,0.422866,0.721654,0.548088,0.40408,0.882156,-0.241911
4.40389,0,-2.20976,0.967795,-1.05645,-0.998595,42.6559,19.4666,-0.928942,0.185936,0.320148,-0.609872,-0.479126,-0.631264
3.47424,0,-2.92975,0.414186,2.51853,1.37232,10.3729,27.9393,0.323362,0.942591,0.0834278,0.893259,-0.21057,-0.397176
1.22809,0,2.90232,-1.66058,-1.45863,-1.97536,2.41241,61.2127,0.868808,0.320164,-0.377713,0.98995,0.127565,-0.0610467
4.40934,0,3.07598,-0.0514734,0.426027,1.1622,53.8508,26.6177,0.0731946,0.997165,0.0174511,0.771979,-0.325116,-0.546212
2.88973,0,1.19297,-2.68698,-1.4992,-2.76677,24.9054,36.2069,0.167143,0.892507,0.418921,0.568219,0.81554,-0.109645
3.93454,0,-3.12424,-0.568745,1.35417,1.73692,48.0045,50.3331,0.353309,0.912953,0.204178,0.649374,-0.683849,-0.332663
2.00504,0,1.0694,-1.86152,-1.22062,-0.158743,70.7181,13.3568,-0.957495,0.0167822,-0.28796,0.773253,-0.128023,-0.621039
3.7601,0,-1.40931,2.02666,3.14343,2.14041,18.8173,22.8288,0.814884,-0.576459,-0.0604992,0.395539,-0.888703,0.231853
3.30676,0,1.63741,-1.55436,-0.781746,0.243944,35.9491,53.3637,-0.751822,0.402198,0.522495,0.842165,-0.115915,-0.526613
5.03489,0,-0.298129,0.881234,-1.46694,-0.675996,23.7415,96.5303,0.578327,0.801004,0.154694,0.850096,-0.279368,0.446419
3.65397,0,-2.09656,-0.0372033,0.12138,0.284552,32.9662,31.955,-0.867037,0.492195,-0.0774082,0.108436,-0.866387,-0.487457
2.00859,0,2.66462,0.720796,2.39341,0.94286,37.5626,2.02897,0.984191,0.0882365,0.153568,0.861158,-0.27641,-0.426619
2.31596,0,2.88555,-0.196188,-1.05096,-1.40501,40.8009,34.057,-0.706984,-0.560103,0.431808,-0.871341,0.162921,-0.462841
1.65712,0,2.36151,-1.08465,-0.0940248,-1.79207,0.878041,21.6951,0.543162,0.624158,0.561606,-0.00693091,-0.957308,0.288987
2.23688,0,-1.04423,2.29845,-1.80072,-1.73967,12.6362,2.12471,-0.387214,-0.900415,0.198288,0.571069,0.816661,0.0833368
2.92964,0,-1.82895,1.63015,-1.78135,-0.878613,5.79447,37.6772,0.182279,-0.937024,0.297928,-0.0393049,-0.706971,-0.706149
3.10228,0,0.992271,-2.47007,-0.658643,-0.513599,63.7686,45.177,-0.890512,0.276059,-0.361635,0.403473,-0.833386,0.377727
2.5669,0,-2.4686,1.6967,0.564538,-0.41462,33.9675,3.7863,0.581145,-0.809431,-0.0842103,-0.99295,-0.116654,0.0210046
